ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
15214,"7289000668","072890006684","HEINEKEN SILVER 12OZ BOTTLES","12OZ","1","9.18","9.180","11.99","1","9.180","9.180","11.99","Tax","BEER","BEER","HDI","0.00",0,"23.44",0,0,"D",0,"general",0,"49182",4,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15215,"0008600006","0000","RETURNS 18PK CAN BTL",,"1","1.35","1.350","0.00","1","1.350","1.350","0.00","Tax",,,"HDI","-1.00",-1,"0.00",0,0,"D",0,"general","8664","54327",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15216,"8158401233","081584012337","KENDALL JACKSON CABERNET SAUVIGNON VINTERS RESERVE 375ML","375ML","1","8.00","0.000","11.99","1","8.000","0.000","11.99","Tax","WINE","WINE","CDI","0.00",0,"33.28",12,2,"D",0,"general",0,"87514",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15217,"8218400687, 8218420687","082184206874, 082184206874","JACK DANIELS & COCA COLA RTD CANS","12OZ","1","2.44","2.440","3.50","1,4","2.440,9.760","2.440,9.640","3.50,12.990","Tax","RTD COCKTAILS","LIQUOR","EDER BROS","-24.00, 24.00",0,"30.29",0,0,"D",0,"general","1626","16942",24,,,,,0,1,"Inventory Item",,"1PK",0,0,0,0,,,0,0
15218,"8218400688","082184006887","JACK DANIELS & COCA COLA ZERO SUGAR RTD CANS","12OZ","1","2.44","2.410","3.50","1","2.440","2.410","3.50","Tax","RTD COCKTAILS","LIQUOR","EDER BROS","0.00",0,"30.29",0,0,"D",0,"general",0,"19805",24,,,,,0,0,"Inventory Item",,"1PK",0,0,0,0,,,0,0
15219,"7297900016","072979000169","SEAGRAM'S CLUB SODA 6PK 10 OZ","10 OZ","1","6.94","6.940","9.99","1","6.940","6.940","9.99","Tax","SODA",,"DRINX UNLIMITED","2.00",2,"30.53",0,0,"D",0,"general",0,"15239",4,,,,,0,0,"Inventory Item",,"6PK",0,0,0,0,,,0,0
15220,"5067700620","850677006207","HOOP TEA VARIETY PACK 12OZ 12PK CANS","12OZ","1","14.53","14.530","18.99","1","14.530","14.530","18.99","Tax","MALT BASED COOLERS","BEER","HDI","0.00",0,"23.49",0,0,"D",0,"general","5170","25896",2,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15221,"5964400003","859644000033","BARSOLPISCO TORONTEL BRANDY","750ML","1","30.74","30.740","39.99","1","30.740","30.740","39.99","Tax","BRANDY","LIQUOR","SLOCUM & SONS INC","2.00",2,"23.13",0,0,"D",0,"general","6109811","44085",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15222,"1010678019","810106780191","LA CHABLISIENNE SAINT-BRIS SAUVIGNON BLANC","750ML","1","13.33","13.330","20.99","1","13.330","13.330","20.99","Tax","IMPORTED WINE","WINE","BRESCOME","0.00",0,"36.49",0,0,"D",0,"general","29929","29516",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15223,"9450900058","894509000582","BANDIT CHARDONNAY 1LTR BOX","1LT","1","5.42","5.420","7.99","1","5.420","5.420","7.99","Tax","US WINE","WINE","CDI","0.00",0,"32.17",0,0,"D",0,"general","9026334","96104",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15225,"8500002588, 8500042588","085000025888, 085000025888","BAREFOOT REFRESH RED SANGRIA 4 PACK CAN","250ML","1","1.20","1.200","1.99","1,4","1.200,4.800","1.200,4.800","1.99,7.990","Tax","WINE","WINE","CDI","12.00, -4.00",8,"39.70",0,0,"D",0,"general",0,"83118",24,,,,,0,1,"Inventory Item",,,0,0,0,0,,,0,0
15226,"8500042499, 8500002499","085000024997, 085000024997","BAREFOOT SPRITZER ROSE 4PK CAN","250ML","1","1.40","1.400","2.19","1,4","1.400,5.600","1.400,4.800","2.19,8.490","Tax","US WINE","WINE","CDI","-22.00, 22.00",0,"36.07",24,7,"D",0,"general","9246974","76877",24,,,,,0,1,"Inventory Item",,"No Deposit",0,0,0,0,,,0,0
15227,"3598580197","635985801979","WHITE CLAW VODKA + SODA VARIETY PACK 8PK CANS","12OZ","1","15.00","15.000","18.99","1","15.000","15.000","18.99","Tax","RTD COCKTAILS","LIQUOR","A. GALLO","0.00",0,"21.01",0,0,"D",0,"general",0,"26283",3,,,,,0,0,"Inventory Item",,"8PK",0,0,0,0,,,0,0
15228,"6000766316","860007663161","WOODBURY MANGO SOUR LET THE MANGO THROUGH 4PK CAN","16OZ","1","13.00","3.250","18.99","1","13.000","3.250","18.99","Tax","4 PK BEER","BEER","WOODBURY BREWING","0.00",0,"31.54",6,3,"D",0,"general",0,"04548",6,,,,,0,0,"Inventory Item",,"4PK",0,0,0,0,,,0,0
15229,"0010000870","0000","RETURNS 12PK BTL CN",,"1","0.45","0.450","0.00","1","0.450","0.450","0.00","Tax",,,"HDI","-4.00",-4,"0.00",0,0,"D",0,"general","8666","70019",2,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15230,"1564365890","015643658907","CHATEAU LES GRANDS MARECHAUX RED 750ML","750ML","1","11.33","11.330","16.99","1","11.330","11.330","16.99","Tax","IMPORTED WINE","WINE","TOUTON MONSIEUR TOUTON SELECTION LTD","9.00",9,"33.31",12,7,"A",0,"general","1573-19","93186",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15231,"9100000000","091000000008","CLASE AZUL MEZCAL GUERRERO","750ML","1","283.66","283.660","389.99","1","283.660","283.660","389.99","Tax","TEQUILA","LIQUOR","EDER BROS","3.00",3,"27.26",0,0,"D",0,"general",0,"35782",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15233,"5171800051","851718000512","SCATTERED PEAKS FUME BLANC NAPA VALLEY 750ML","750ML","1","11.33","11.330","19.99","1","11.330","11.330","19.99","Tax","US WINE","WINE","BRESCOME","0.00",0,"43.32",6,3,"B",0,"general","26302","59717",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
